"","pragmeta_trial_id","Author","DOI","Title","Rater","Eligibility","Quote_comment_Eligibility","Recruitment","Quote_comment_Recruitment","Setting","Quote_comment_Setting","Organization","Quote_comment_Organisation","Flex. delivery","Quote_comment_Flexibility_del","Flex. adherence","Quote_comment_Flexibility_adh","Follow-up","Quote_comment_FU","Outcome","Quote_comment_Prim_out","Analysis","Quote_comment_Primary_anal","module"
"691",691,"Thomas, Sarah; Thomas, Peter W; Kersten, Paula; Jones, Rosemary; Green, Colin; Nock, Alison; Slingsby, Vicky; Smith, Angela Davies; Baker, Roger; Galvin, Kathleen T; Hillier, Charles","10.1136/jnnp-2012-303816","A pragmatic parallel arm multi-centre randomised controlled trial to assess the effectiveness and cost-effectiveness of a group-based fatigue management programme (FACETS) for people with multiple sclerosis.","Julian",4,"From the protocol: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2905353/

Inclusion criteria
1. Providing written informed consent.

2. Over the age of 18.

3. Clinical diagnosis of relapsing-remitting or progressive multiple sclerosis (Poser/McDonald criteria [48-50].

4. Score on the Fatigue Severity Scale (FSS) [51] greater than 4. The FSS is a uni-dimensional self-report measure consisting of 9 items that ask about severity of fatigue related to daily activities (such as physical functioning, exercise, work, family, and social life). Responses are made on a 7-point Likert-type scale.

5. Ambulatory (score on the Adapted Patient Determined Disease Steps (APDDS) Scale [52] < 8). This self-administered instrument is based on the Patient-Determined Disease Steps (PDDS) scale and the telephone Expanded Disability Status Scale (EDSS). The programme content will be most relevant for those who are ambulatory. Individuals who are non-ambulatory will continue to receive standard care.

6. Able to attend the intervention sessions.

7. English speaking.

Exclusion criteria
1. Attended a specific fatigue management programme within the last year.

2. Received a substantive, specific, fatigue intervention from an Occupational Therapist (OT) or other health professional, consisting of more than general advice, within the previous 3 months (such as the guidance produced by the National Association of Neurological Occupational Therapists (NANOT) [53] (now known as the College of Occupational Therapists Specialist Section - Neurological Practice) [29].

3. Already involved in another research study.

4. Individuals who have cognitive deficits such that they would not be able to engage in the group format or benefit from the programme. If individuals have substantial cognitive deficits much of the content of the fatigue management programme would not be appropriate. This will be based on the judgement of health professionals/local investigators.

5. Individuals who have had a relapse within the previous three months. This would be a potential confound since a change in fatigue could be the result of treatment or improvement after a recent relapse.

6. Individuals who have been on a disease-modifying drug (such as Beta-Interferon, Glatiramer Acetate) or an anti-depressant for fewer than 3 months. One of the possible initial side effects of these drugs is fatigue and thus this could be a confounder.

7. Individuals who are known to be currently under the care of a psychiatrist or under the care of addiction services will be excluded. Ongoing psychiatric disorders or addiction problems would compromise the potential to benefit from the programme.

Individuals excluded from the research project will continue to be seen as per usual care.","4","Participants were recruited in three UK centres (Poole, Bristol, Southampton/Portsmouth) from primary or secondary care, or via MS Society newsletters/websites.","4","Participants were recruited in three UK centres (Poole, Bristol, Southampton/Portsmouth) from primary or secondary care, or via MS Society newsletters/websites.
FACETS was delivered in hotel meeting-room facilities, with the exception of one centre, where it was held in a rehabilitation hospital.","4","Apart from one MS specialist nurse, facilitators were either occupational therapists or physiotherapists. Facilitators were all qualified to a senior/advanced level (in the UK minimum of a Band 7 on the NHS Agenda for Change (AfC) grading structure).17 Facilitators were trained to deliver the intervention at 1-day workshops and psychological advice and debriefing were available for facilitators throughout the trial.","3","The intervention is highly structured.

FACETS is manualised with a detailed description of content to be delivered, a suggested script for facilitators, guidance notes and a detailed checklist of key aspects to be covered. Observations of sessions, feedback from the facilitators during the three centre pilot study, facilitators debriefs and evaluation of participant feedback on each session suggested that the intervention was being delivered as intended.","5","We did not formally assess treatment fidelity. Measuring fidelity would haverequiredeither havinganobserver or audio-/ video-recording sessions and these approaches can impact on participants willingness to participate in research and on the dynamics of group sessions.","4","For those allocated to the FACETS arm, outcomes were measured 1 week (baseline) before the start of FACETS and 1 month (follow-up 1) and 4 months (follow-up 2) after the final session.
The primary intention-to-treat analyses and results for the primary outcome measures are shown in table 2 and online supplementary figure S1.

objective measures of physical activity over a 48 h period (weekday/weekend day) using ActivPAL accelerometers (total energy expenditure over 48 h period).26","5","These were: (1) fatigue severity (Global Fatigue Severity (GFS) subscale of the Fatigue Assessment Instrument (FAI)),18 (2) disease-specific quality of life (QOL) (total score on the Multiple Sclerosis Impact Scale, V.1 (MSIS-29, V.1))19 and (3) self-efficacy for managing fatigue (Multiple Sclerosis-Fatigue Self-Efficacy scaleadapted from the Control subscale of the MS Self-Efficacy scale).20","5","The primary intention-to-treat analyses and results for the primary outcome measures are shown in table 2 and online supplementary figure S1.","PragMS"
"692",692,"Torkhani, Eya; Dematte, Emilie; Slawinski, Jean; Csillik, Antonia; Gay, Marie-Claire; Bensmail, Djamel; Heinzlef, Olivier; de Marco, Giovanni","10.3389/fpsyg.2021.767784","Improving Health of People With Multiple Sclerosis From a Multicenter Randomized Controlled Study in Parallel Groups: Preliminary Results on the Efficacy of a Mindfulness Intervention and Intention Implementation Associated With a Physical Activity Program.","Julian",5,"Thirty-five patients (N = 28 Females) were recruited and gave their written consent to participate to this study. Inclusion criteria for the study included (1) a diagnosis of MS, (2) not currently engaged in rehabilitation, therapy or PA program and able to undertake PA without risk-factors (3) aged between 18 and 65 (4) able to give informed consent and to understand French. We excluded those who were receiving drug treatment for fatigue started less than three months ago or acute hospital or nursing home, those who were having psychiatric disorders.","5","Participants were recruited from two hospitals in the Parisian region, in France receiving outpatient services for MS at a regional medical center.

For this study, individuals were approached by the study coordinator and asked if they would be willing to participate in it.","5","NA","4","The three groups received the same PA program, which was controlled for contraindications and delivered by a neurologist (OH) at Poissy CHI Hospital (France) and a specialist in physical medicine and rehabilitation (DB) at Raymond-Poincaré Hôpital  Garches (France). The PA program was manualized and available as a booklet. This program initiated after the primary actimetry measurement and maintained for 8 consecutive weeks with a frequency of 2 h weekly. Practicing sessions took place at home under the supervision of a physical and sports activity trainer specializing in sports training.","5","NA","4","Transmission and reception of the adhesion to the psychological and motivational interventions and assessment were carried out
due to TailorBuilder tool1 . TailorBuilder is an online tool used to develop programs for creating and conducting web-based questionnaires and designing tailor-made programs","2","weekly telephone calls: Participants also received a weekly telephone call lasted up to 15 min, during which a detailed report concerning the session(s) was reviewed and adapted if required.

Intensive assessments different from usual care, plus The Actigraph GT3X accelerometer (Health One Technology, For Walten Beach, Fla.) was used to measure participants PA practice at T1 and T2 in their daily lives. Data were collected during the day for 7 consecutive days, before and immediately after eight weeks of the PA program","5","The primary outcomes, fatigue,
mobility and quality of life,","5","According to the recommendations ofMcCoy (2017), concerning the randomized controlled trials and the assess of the psychological interventions efficacy all the patients of the study were analyzed. The missing values in session 2 (one MBI and two CG) were replaced by the group average.","PragMS"
"693",693,"Velikonja, Orjana; Curic, Katarina; Ozura, Ana; Jazbec, Sasa Sega","10.1016/j.clineuro.2010.03.006","Influence of sports climbing and yoga on spasticity, cognitive function, mood and fatigue in patients with multiple sclerosis.","Julian",4,"Twenty patients with relapsingremitting MS, primary progressive MS or secondary progressive MS, aged 2650 years, with an EDSS not more than 6 and EDSS pyramidal functions score (EDSSpyr) more than 2were included in the prospective study","NA","No detailed information","4","SC took place in the Training, Occupation and Care Centre under thesupervision oftwoSCinstructorswithaSlovenian SportsClimbing Committee License.

Hatha yoga took place in the facilities of Institute of Rehabilitation, Republic of Slovenia.","4","SC took place in the Training, Occupation and Care Centre under thesupervision oftwoSCinstructorswithaSlovenian SportsClimbing Committee License.

Hatha yoga took place in the facilities of Institute of Rehabilitation, Republic of Slovenia. The program was adjusted for MS patientsandwasheldbyaMS specialist nursewho is ayoga instructor with a license for patients with physical disabilities.","NA","No detailed information","4","Participants were asked to attend at least 9 out of 10 SC or yoga sessions.","4","Seems to be a different settung than the intervention?
Examinations were performed by the members ofMultiple Sclerosis Center at the Division ofNeurology, University Medical Center Ljubljana.","3","No primary outcome stated","NA","No detailed information on number of anaylsed patients.","PragMS"
"694",694,"Vermohlen, Vanessa; Schiller, Petra; Schickendantz, Sabine; Drache, Marion; Hussack, Sabine; Gerber-Grote, Andreas; Pohlau, Dieter","10.1177/1352458517721354","Hippotherapy for patients with multiple sclerosis: A multicenter randomized controlled trial (MS-HIPPO).","Julian",4,"MS patients older than 18?years who had a confirmed MS with spasticity of the lower limbs and an Expanded Disability Status Scale (EDSS)9 score between 4 and 6.5 were eligible for inclusion. Patients who had received hippotherapy within the last 12?months, a body weight over 90?kg, no balance while sitting, and acute exacerbation during the 4-week period before start of the therapy were excluded. A planned start of treatment with new antispastic drugs or other medications that may have an influence on the assessed outcomes also resulted in exclusion.","4","From the protocol: 
Patients are to be enrolled at five centres in Germany (see Table 1). Ten study physicians will screen potential participants. The participating centres have to meet the following pre-defined requirements: see Table 2.
Requirements for the study centres.


DKThR-certified facility

Implementation of hippotherapy according to DKThR guidelines

Designation of the head hippotherapist and his/her deputy

Designation of the responsible physiotherapist and his/her deputy

Separate room for the initial, interim, and final assessments

At least 2 therapy horses must be available for the therapy

At least 6 patients must be treated per week

Comprehensive cooperation with the monitor","5","Patients of the intervention group received hippotherapy (as defined by the regulations for hippotherapy of the Deutsches Kuratorium für Therapeutisches Reiten e.V. (DKThR))8 once a week for 12?weeks as an addon therapy to their standard care, which remained unchanged. Patients in the control group continued their previous therapy. Over the study period, symptomatic drug treatment, immunotherapy, and physiotherapy were kept unchanged in both groups.","5","From the protocol: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5935848/

Requirements for the study centres.


DKThR-certified facility

Implementation of hippotherapy according to DKThR guidelines

Designation of the head hippotherapist and his/her deputy

Designation of the responsible physiotherapist and his/her deputy

Separate room for the initial, interim, and final assessments

At least 2 therapy horses must be available for the therapy

At least 6 patients must be treated per week

Comprehensive cooperation with the monitor","4","Procedures ""Therapeutisches Reiten"" by the Deutsches Kuratorium für Therapeutisches Reiten e.V. 2020 - 2022, https://www.dkthr.de/therapeutisches-reiten/","3","No reported special measures to enforce engagement or compliance","4","Examinations and questionnaires were completed prior to the first hippotherapy session (baseline), after 67?weeks (interim assessment) and after 12?weeks (final assessment).","5","The primary endpoint was the change in the BBS1013 (difference from BBS baseline to week 12).","3","Analyses were based on the modified intention-totreat set (modified ITT). This set encompasses all randomized patients with valid baseline assessment.

Analyzed recipients to treatment received instead of treatment randomised","PragMS"
"695",695,"Ward, C D; Turpin, G; Dewey, M E; Fleming, S; Hurwitz, B; Ratib, S; von Fragstein, M; Lymbery, M","10.1191/0269215504cr792oa","Education for people with progressive neurological conditions can have negative effects: evidence from a randomized controlled trial.","Julian",5,"Participants eligible for in- clusion were adults aged over 15 years with one of the following possible recorded diagnoses: MS, PD and other causes of progressive parkinsonism,
motor neurone disease, Huntington's disease and p other degenerative disorders affecting the central nervous system, muscles or peripheral nerves. In order to preserve a focus on primarily physical
disabilities, dementing disorders such as Alzhei- py mer's disease were not included. Participants whose clinical features appeared incompatible with the recorded diagnosis were excluded, as were those with neurological complications of primarily non-neurological conditions such as diabetes mellitus, or additional causes of severe
disability. The study was designed to cover a specific geographical area because of the nature of the intervention.","4","downgraded because of efforts made to recruit:

From July 1998 we approached the 177 GPs based within the City of Nottingham boundaries
(population 282000).

We searched practice diagnostic lists and pre- scription records and made intensive enquiries for additional patients from individual GPs. To avoid
ing specific health or social services, we used GP ascertainment bias towards people already receiv-
potential participants. information as the sole method for identifying

","5","not downgraded because single center but in line with eligibility criteria: Participants' homes in the City of Nottingham.","5","assuming all additional efforts are part of the intervention","5","ithin six weeks of the baseline visit, partici- pants in the EG received an education visit from the research OT, who provided personalized advice and information based on the expert panel discus- sion, a tailored version of the standard information package, and a specially constructed leaflet offer- ing information about the participant's condition and about self-help organizations. An action plan was then proposed, and relevant phone numbers supplied.","NA","NA","4","downgraded because of phone call follow-through and 2-monthly phone calls","5","Primary outcome measures were reports of one or more falls or skin sores. ","5","less than 10% dropout","PragMS"
"696",696,"Weinstock-Guttman, Bianca; Hagemeier, Jesper; Kavak, Katelyn S; Saini, Vasu; Patrick, Kara; Ramasamy, Deepa P; Nadeem, Muhammad; Carl, Ellen; Hojnacki, David; Zivadinov, Robert","10.1136/jnnp-2015-312221","Randomised natalizumab discontinuation study: taper protocol may prevent disease reactivation.","Julian",5,"justified inclusion criteria: Inclusion criteria consisted of: a diagnosis of relapsing MS according to McDonald criteria,19 being on natalizumab therapy for 24 months or longer, aged between 18 and 65 years and an EDSS score of ?7.0.20 Candidates were excluded from the study if active disease was identified at baseline per clinical (presence of a relapse during the previous 30 days) and/or MRI evaluation (active gadolinium (Gd)-enhancing lesions).","NA","No detailed information on the recruitment process: Fifty patients with relapsing MS, followed at the Jacobs MS Center for Treatment and Research, Department of Neurology, University at Buffalo, Buffalo New York, USA, were enrolled in this study.","3","single center: followed at the Jacobs MS Center for Treatment and Research, Department of Neurology, University at Buffalo,","4","Clinical and MRI assessments in this group were scheduled as 3, 6 and 12 months after their last natalizumab infusion. Both groups initiated another DMT in a similar manner.

Standardised MRI were performed using the same 3 T General Electric Signa Excite HD 12.0 (General Electric, Milwaukee, Wisconsin, USA) right-handed scanner using a multichannel head and neck coil at baseline, 6 and 12 months following the discontinuation of natalizumab therapy. F","5","Patients in both groups may have received additional optional treatment with intravenous myethylprednisolone (IVMP) in the first 6 months post-natalizumab discontinuation. The dose of IVMP treatment was at the discretion of the treating physician in agreement with the patient and included (A) no IVMP treatment, (B) 1 g/day q4 weeks during 6 months after last natalizumab infusion and (C) 1 g/day for 3 days q4 weeks during 6 months after last natalizumab infusion.

In case of a relapse, patients were evaluated within 35days from symptom onset. If the physician confirmed a relapse (described as the appearance of new clinical and/or objective neurological changes, not requiring change in EDSS, lasting for ?24 h), the relapse was treated with IVMP (1 g/day for 35 days) as per the treating physician decision. If there was presence of three or more Gd-enhancing lesions developed within the 03months or 3 6 months periods, patients also received treatment with IVMP (1 g/ day for 35 days) as per the treating physician decision.","NA","No information available","3","Intensive edss and mri assessments that may deviate from uc: A physical examination and neurological assessment was administered at baseline, 3, 6 and 12 months postdiscontinuation (counted from the last natalizumab infusion), as well as during unscheduled visits due to relapses (within 35 days of any new symptom development). The Treating Neurologist evaluated the patient during the visits (scheduled and nonscheduled/urgent visits). An Examining Neurologist performed the Kurtzke EDSS blinded to the arm the patient was randomised to. Vitals, safety information and concomitant medications were obtained at the q3-month scheduled visits.","4","downgraded because of mri measured outcome; >> Safety parameters evaluated as primary outcomes were defined as: (1) MRI parameters quantified by lesion activity analyses and changes in lesion volume (LV) and (2) clinical parameters that included the number of clinical relapses during the cessation period compared to the number of relapses before cessation in both the group as a whole as well as between the two randomised groups.","NA","NA","PragMS"
"697",697,"Williams, Katrina Louise; Low Choy, Nancy Louise; Brauer, Sandra Gail","10.1002/pmrj.12377","Center-Based Group and Home-Based Individual Exercise Programs Have Similar Impacts on Gait and Balance in People With Multiple Sclerosis: A Randomized Trial.","Julian",4,"exclusion of people involved in other training activity: Inclusion criteria were the following: diagnosis of MS made by a neurologist, able to walk 10 meters with or without an aid within 2 minutes, no relapse of their MS in the past 4 weeks, and no other neurological or orthopedic condition that would affect their function. Eligible participants were excluded from the study if they were already engaged in a formal exercise program lasting >30 minutes twice per week, experienced an exacerbation within the past 4 weeks, had their MS immunomodulation medications altered in the previous 4 weeks or during the trial period, or declined to be randomly allocated.","5","Community dwelling people with MS were recruited through the Multiple Sclerosis Society of New South Wales and South Australia.","5","Community center-based and home-based exercise program.","4","The group program was conducted at a local community center and included four to six participants per class. Groups were led by a physiotherapist employed by the Multiple Sclerosis Society who received training to ensure a standard approach to intervention, intensity, and progression.","4","Participants in both groups were encouraged to maintain their usual activity levels and engagement in any other exercise throughout the trial, with any variation self-reported to the treating physiotherapist.","4","Adherence (proportion of exercise sessions completed) was recorded in both groups.","4","Intensive fu assessments: Secondary outcome measures included walking endurance, measured using the 6-minute walk test40 and standing balance, using the Berg Balance Scale.41 In this study, participants were instructed to walk at their best effort for 6 minutes over a 20-meter indoor track using their usual walking aid. Distance walked was measured to the nearest meter. Higher test scores are associated with greater engagement in community ambulation.42 The Berg Balance Scale is a clinical test that requires the assessor to rate the performance of 14 tasks that challenge balance (eg, stand up, turn). Standard instructions were used for all tests,41 with each item receiving a score between 0 and 4, with a maximum total of 56. Both tests are valid clinical measures with high inter- and intratester reliability in people with MS.39","5","The primary outcome was gait speed (10-meter walk test","NA","No information on how missing data (6/50) was addressed: Data were analyzed according to the intention-totreat principle.","PragMS"
"648",648,"E Abalos, V Addo, P Brocklehurst, M El Sheikh, B Farrell, S Gray, P Hardy, E Juszczak, J E Mathews, S Naz Masood, E Oyarzun, J Oyieke, J B Sharma, P Spark","10.1016/S0140-6736(13)60441-9 ","Caesarean section surgical techniques (CORONIS): a fractional, factorial, unmasked, randomised controlled trial.","Kinga",4,"excluding women ""had more than one previous caesarean section""","NA","NA","5","19 centers in 7 countries ","4","extra trainig provided but mostly about the interventuon, ","2","instruction on how to perform the surgery but ""Haemostasis of the incision could be done with additional sutures as judged necessary by the surgeon regardless of the method of closure undertaken.""","NA","it is surgery","4","1 follow-up but data colleted before the surgery, just right after and by the discharge; more data collected then usually, ""Women who did not return at 6 weeks were located and 
interviewed by telephone or during a home visit."" ","1","death, maternal infectious morbidity, further operative pro cedures, or blood transfusion of more than 1 unit of 
whole blood or packed cells up to the 6-week follow-up -  some of 
the elements are less important to patients or partici pants than others
visit and  short term 
after a one-time intervention (more explanatory)","1","loss to follow-up 15%, per protocoe analyses,  Analyse recipients to treatment received instead of 
treatment randomised","PragQoL"
"722",722,"Anushka Patel, Alan Cass, David Peiris, Tim Usherwood, Alex Brown, Stephen Jan, Bruce Neal, Graham S Hillis, Natasha Rafter, Andrew Tonkin, Ruth Webster, Laurent Billot, Severine Bompoint, Carol Burch, Hugh Burke, Noel Hayman, Barbara Molanus, Christopher M Reid, Louise Shiel, Samantha Togni, Anthony Rodgers","10.1177/2047487314530382","A pragmatic randomized trial of a polypill-based strategy to improve use of indicated preventive treatments in people at high cardiovascular disease risk.","Kinga",4,"""Men and women aged  18 years at high CVD risk,
defined as either established CVD - using the Framingham risk equation-"", "" Each participant had to have,
in their doctor�s view, indications for all and no contra indications to any component of at least one of two
polypills"", ","NA","NA","5","All participants were treated by their regular doctor
following randomization, ","5","""All participants were treated by their regular doctor
following randomization"", ","5","""No attempt was made to
influence the management of usual care participants."", ""Those allocated to the polypill-based strategy were pre scribed one of the polypill versions at the discretion of
their doctor, to be taken at a time suggested by the
doctor. No attempt was made to influence any other
aspect of their management. The doctor could, at any
time, change prescription to the alternative polypill ver sion, add drugs on top of the polypill, or withdraw the
polypill and substitute individual drugs of their choice.""","4",""" Other follow-up information obtained
included perceived barriers to adherence"", ","3","Participants attended the primary healthcare centres for trial assessments at randomization and 12 month intervals thereafter. All participants were also reviewed one month post-randomization and at intervening six month intervals, but these could be conducted by telephone, ""Self-reported use of all medications was assessed at each visit, recorded as the number of days
on which medication was taken in the immediately pre ceding week. Other follow-up information obtained
included perceived barriers to adherence, quality of
life (EQ5D questionnaire), occurrence of cardiovascu lar, renal and other serious adverse events and reasons
for stopping cardiovascular medications"", extensive data were collected and Visits at 1 month + 6, 12, 18, 24, 30, 36 months","3","""self-reported use of indicated combination treatment (antiplatelet, statin and 2 BP lowering therapies for 4 of the previous seven days) at study end; and changes in systolic BP and total cholesterol from baseline to study end""","3","""intention-to-treat basis without imputation of missing data""","PragQoL"
"650",650,"Anneke van Dijk-de Vries, Marloes A van Bokhoven, Bjorn Winkens, Berend Terluin, J Andr� Knottnerus, Trudy van der Weijden, Jacques Th M van Eijk","10.1136/bmjopen-2014-007014","Lessons learnt from a cluster-randomised trial evaluating the effectiveness of Self-Management Support (SMS) delivered by practice nurses in routine diabetes care.","Kinga",4,"""Patients with a
clinically established diagnosis of type 2 diabetes mellitus"", ""Patients with score DFT >4 and DS >3 were
eligible "", ","4","""Patients with a
clinically established diagnosis of type 2 diabetes mellitus
were sent a letter by their GPs to introduce the SMS
project."", a score develpoed for the purpose of the study, ","5","""All the family practices of one regional organisation of
GPs (a so-called �care group�) in the South of the
Netherlands were eligible to participate in the study.""","3","no increase staff number, ""During three 8 h training sessions, PNs in the interven tion arm were trained to integrate the detection and follow-up phase of SMS into their daily practice. The training sessions were followed up by booster sessions to maintain and improve PNs� skills in SMS. PNs attended
these booster sessions three or four times during the year of follow-up."", ""Financial reimbursement for the extra time spent on SMS was added to the bundled payment arrangement for diabetes care."", ","NA","NA","NA","NA","3","""Measurements were at baseline, at 4 months and at 12 months"", "" Owing to the logistics, patients received the posted screening questionnaire 4�6 weeks before a planned diabetes con sultation. Reminders were sent at least 3 weeks before a consultation"", "". These extra consultations delivered by PNs were aimed at supporting patients in their day-to-day management of diabetes and its emotional and social consequences."", ""In the selection of patients for the effectiveness trial,
the following issues were crucial. First, we wanted to
select patients who would receive the complete interven tion including detection and follow-up.""","4","""The effect of SMS on patients� daily functioning"", Outcome was of obvious importance to participants but the criteria are not widely available in usual care","3",""" intention-to-treat basis"", "" more that 10 loss to follow-up"", no appropriate methods to address missing data","PragQoL"
"714",714,"Hilary Pinnock, Robert Bawden, Stephen Proctor, Stephanie Wolfe, Jane Scullion, David Price, Aziz Sheikh","10.1136/bmj.326.7387.477 ","Accessibility, acceptability, and effectiveness in primary care of routine telephone review of asthma: pragmatic, randomised controlled trial.","Kinga",3,"""adults (>18 years) who had asked
for a bronchodilator inhaler prescription in the previous six months but who had not had a routine asthma
review in the preceding 11 months. Patients were
excluded if the diagnosis of asthma had been made
within the previous year, if they had chronic
obstructive pulmonary disease, if communication diffi culties made a telephone consultation impossible, or
(at the general practitioner�s request) for major social
or medical reasons. We wrote to all eligible patients
inviting them to take part in the study"", ","4","""computerised asthma registers"", ","3","""Four general practices in England"", ","4","""nurses who were trained and
experienced in providing proactive asthma care"", ""�We gave the nurses
standardised training in the study procedure."", ","5","""The nurses were given no instructions about
the content of the review except that it should reflect
their normal practice and be appropriate to each
patient�s clinical need"", ""Nurses arranged any follow up consultations (whether
in the surgery or by telephone) they deemed clinically
necessary. Patients were free to arrange any consulta tions they wished"", ","4","""Nurses were
told to make up to four attempts to contact the patient
by phone"", ","5","""Follow up questionnaires on
morbidity and satisfaction with the consultation were
sent to the patients at three months."", ","5","""Primary outcome measures were the proportion of participants who were reviewed within three months of randomisation and disease specific quality of life, as measured by the Juniper mini
asthma quality of life questionnaire"", ","3","intention-to-treat, nothing about dealing with missing data","PragQoL"
"725",725,"Amar Rangan, Helen Handoll, Stephen Brealey, Laura Jefferson, Ada Keding, Belen Corbacho Martin, Lorna Goodchild, Ling-Hsiang Chuang, Catherine Hewitt, David Torgerson","10.1001/jama.2015.1629","Surgical vs nonsurgical treatment of adults with displaced fractures of the proximal humerus: the PROFHER randomized clinical trial.","Kinga",4,"""aged 16
years or older and presented within 3 weeks after sustaining a
displaced fracture of the proximal humerus that involved the
surgical neck. The degree of displacement had to be suffi cient for the treating surgeon"", ""1 Excluded pa tients had associated dislocation of the injured shoulder joint,
open fracture, insufficient mental capacity to understand the
trial or instructions for rehabilitation, comorbidities preclud ing surgery or anesthesia, clear indication for surgery such as
severe soft-tissue compromise, multiple injuries (upper limb
fractures), pathological fracture (other than osteoporotic), ter minal illness, or were not a resident in the hospital catch ment area.""","NA","recruted in the hospital ","5","""t 32 acute
UK National Health Service hospitals"", ""all routinely provide surgical and nonsurgical fracture treatment"", ","5","""Rehabilita tion care was provided by physiotherapists in inpatient, out patient, and community settings"", ","4","""To avoid learning curve problems, surgeons and physiothera pists used surgical interventions and procedures with which
they were familiar"", ""Delivery of care and rehabilitation, which was freely avail able for all patients, incorporated the following 3 set measures
to ensure good standards of care within the National Health
Service: provision of an information leaflet on personal care
during sling immobilization; a basic treatment protocol to guide
physiotherapy; and promotion of home exercises"", ","NA","NA","4","""patient questionnaires at 3, 6, 12,
and 24 months."", (baseline characteris tics and details of surgery, details of inpatient stay, treatment
confirmation at 1 month, physiotherapy and end of physio therapy, 1-year and 2-year follow-up, and adverse events and
review), baseline x-rays"", ","5","""Oxford Shoulder Score (OSS) which is a shoulder-specific outcome measure validated in a
UK population"", ""The OSS provides a total score based on the
patient�s subjective assessment of pain and function""","4","""20% loss to follow-up"", ""n intention-to-treat basis and included all randomized pa tients in the groups to which they were randomized"", "". The effect of missing data also was assessed with a post
hoc sensitivity analysis using multiple imputation by chained
equations."", ","PragQoL"
"651",651,"David Price, Stanley D Musgrave, Lee Shepstone, Elizabeth V Hillyer, Erika J Sims, Richard F T Gilbert, Elizabeth F Juniper, Jon G Ayres, Linda Kemp, Annie Blyth, Edward C F Wilson, Stephanie Wolfe, Daryl Freeman, H Miranda Mugford, Jamie Murdoch, Ian Harvey","10.1056/NEJMoa1010846 ","Leukotriene antagonists as first-line or add-on asthma-controller therapy.","Kinga",5,"""s 12 to 80 years of age with a physician�s diagnosis of asthma"", ""symptoms deemed by their physician to require initiation of asthma-controller therapy"", ""peak expiratory flow (PEF) greater than 50% "", ""evidence of im paired asthma-related quality of life"", "" MiniAQLQ"", ""ACQ"", "" MID"", exclusion:  "" prior treatment 
within 12 weeks with an inhaled glucocorticoid or LTRA or LTRA or LABA"",","NA","NA","5","""53 primary 
care practices in the United Kingdom"", ","NA","NA","3","""Practice staffs were asked to provide each pa tient with a written individualized asthma-action plan. For each of the assigned treatments, choices of individual drugs and devices were made accord ing to normal clinical practice and British asthma guidelines"", ""9 The protocol discouraged substan tial treatment changes between randomization 
and the 2-month visit"", "" If a patient required a disallowed asthma medication, this fact was noted, 
and the patient remained in the study"", ","NA","""We determined adherence on the basis of pre scriptions issued versus prescribing instructions 
for patients with at least 6 months without a change in therapy"", ","4",""" study assessments by telephone or in 
the clinic were scheduled at months 2, 6, 12, 18, and 24."", ""Patients completed a validated asthma-symptom diary28 for 2 weeks 
before the baseline visit for an assessment of PEF variability and to record current symptoms"", ","5","""The primary outcome measure was the MiniAQLQ 
score."", ","5","""n inten tion-to-treat analyses"", ","PragQoL"
